date,atm_iv_slope_st,atm_iv_slope_lt,iv_otm_skew_st,iv_otm_skew_lt,pc_oi,pc_vol,otm_pc_oi_st,otm_pc_vol_st,otm_pc_oi_lt,otm_pc_vol_lt,otm_put_oi_pct_chg,otm_call_oi_pct_chg,otm_put_vol_pct_chg,otm_call_vol_pct_chg,otm_put_oi_ma,otm_call_oi_ma,otm_put_vol_ma,otm_call_vol_ma
12/17/2014,-0.014590816,0.005290853,0.139015111,0.11252588,1.879582534,1.858800599,2.011153683,6.814080886,2.03509872,2.036194525,0.170691452,-0.288814803,1.994377189,0.496803031,1.024710162,1.246576269,2.808842759,1.686444409
12/18/2014,0.001252228,0.005169138,0.135516208,0.115148662,1.845756468,1.099903038,5.610555639,246.1236749,8.205463723,23.23919069,0.299422817,-0.534210308,-0.393537733,-0.928646297,1.29669964,0.582250311,1.501998985,0.120185341
12/19/2014,-0.007637623,-0.002970581,0.103085191,0.11312322,1.897047634,2.097551165,127.8045977,178.6,8.440783164,14.53276524,-0.672616709,-0.782389604,-0.420522686,1.309312639,0.452255684,0.133164549,0.829027428,0.277393065
12/22/2014,0.008928305,0.017936907,0.105232047,0.115587942,2.02876194,1.644422817,395.7515528,18.09090909,8.426986873,6.645454545,0.035259725,-0.042886545,-0.692113935,-0.326692271,0.49944811,0.134503616,0.263081385,0.185719157
12/23/2014,0.006036517,0.015227643,0.103659679,0.116973799,2.015682901,4.987432675,331.8134715,6.495049505,8.626639163,41.29166667,0.007644121,-0.041768461,3.04393659,-0.723172906,0.53981842,0.13653967,1.025357469,0.062020024
12/24/2014,0.00678424,0.015425162,0.10590654,0.114636366,2.168007896,2.347695652,102.9360374,1.740566038,8.822726802,8.216395864,0.090599144,0.003336741,-0.880759077,0.256922086,0.627833745,0.150210267,0.129993716,0.082520947
12/26/2014,0.006608345,0.014295954,0.101007515,0.116198556,2.185546286,1.039373127,232.1022727,4.024137931,8.958224694,12.52073733,0.054465867,0.006054077,0.057962953,0.493340164,0.706046241,0.166119278,0.150366607,0.138044364
12/29/2014,0.009157448,0.016828322,0.111291164,0.119703935,2.204441994,2.121259488,119.8467433,20.87201365,10.04730775,27.09123223,0.00356276,-0.124636264,1.623902413,-0.710463122,0.750780938,0.175029476,0.418316958,0.043707018
12/30/2014,0.010039392,0.020923097,0.116348255,0.121927849,2.311141395,4.698683406,57.76325411,63.56555773,8.003960143,51.40038685,-0.024989688,0.261907295,0.464672171,2.007109005,0.771922855,0.293129074,0.64246117,0.227217791
12/31/2014,0.010821891,0.018430546,0.140040465,0.125008407,2.409039233,3.935257235,25.52359551,197.8640351,7.45016115,28.25315088,-0.044627418,0.314194493,0.073413323,0.282899921,0.783127074,0.601089393,0.712554321,0.401118599
1/2/2015,0.007755409,0.018199429,0.153302187,0.122493788,2.527495534,2.328060408,53.72631579,55.1047619,7.745424116,28.97229437,0.02159899,0.00465038,-0.146993971,0.68980344,0.873548488,0.97537452,0.812734451,1.523677652
1/5/2015,0.011867105,0.020786252,0.145756128,0.121928818,2.578062557,2.926643526,12.16340782,10.65662651,3.312405148,12.09530162,-0.073392011,1.426277524,0.579206885,5.322973464,0.954475507,2.615866859,1.467513101,5.169933572
1/6/2015,0.013604167,0.016881745,0.149849094,0.126853462,2.587330983,5.524449458,7.027845036,0.749810749,2.788463324,3.164729446,0.011373585,0.365761558,0.487728262,0.048262382,0.958979787,2.79678433,2.078908017,3.821559936
1/7/2015,-0.000709701,0.004868476,0.145984148,0.117108611,2.7381123,1.155830638,5.607902736,0.478991597,4.081896092,2.951251596,0.192611714,-0.299776981,-0.514869179,2.884227268,1.119178975,1.723907708,0.9590884,6.119662846
1/8/2015,0.012088166,0.023544759,0.121635902,0.123128336,2.528448763,1.764179092,17.27338129,20.39130435,8.353119541,8.01337876,0.283201748,-0.553076449,0.43498381,-0.888231557,1.364579805,0.750507263,1.451656325,0.644242429
1/9/2015,-0.005591349,0.003406444,0.125302196,0.123577182,2.473976454,1.537239975,0.326756001,1.414878398,4.459456544,2.70740139,-0.072270229,1.5849514,-0.284527964,0.827122284,1.226573296,1.694820666,0.96166574,1.060681062
1/12/2015,0.002294524,0.004232632,0.139145778,0.124852076,2.597630691,1.693872117,2.260652666,1.965839402,3.740570333,3.687780445,-0.081522995,0.388733082,0.047818481,0.443080859,1.10869861,1.974517224,0.935251963,1.339881239
